name,currency,price,Boat REF,Length,Year,Construction,Underwater profile,Sleeping berths,Engine,Lying
Jaguar 25,GBP,8000.00,316455,7.62,1983,GRP,Fin,4,1 x gasoline 8hp/ Yamaha Outboard (2008),Clyde
Dufour 2800,GBP,8000.00,312622,8.25,1978,GRP,Fin and Bulb,5,1 x diesel 14hp/ Beta 14 (2015),Plymouth Area.
Cobra 850 Cruiser,GBP,7999.00,315275,8.69,1983,GRP,Bilge,5,1 x diesel 18hp/ BUK (1983),Essex
Pilgrim 25,GBP,7995.00,315215,7.62,1971,GRP,Semi-Displacement,4,1 x diesel 40hp/ Ford 1.8 (unknown year),Norfolk
MG Spring 25,GBP,7995.00,316155,7.77,1986,GRP,Wing Keel,6,1 x diesel 14hp/ Beta Marine (2016),Lancashire
Zar Rib 10 DL Demonstrator,GBP,7995.00,317475,3.00,2022,Rubber,Planing,,,Suffolk
Robinson Skiff 18 Foot Rowing Skiff Hanningfield Skiff,GBP,7995.00,310246,5.49,2022,GRP,Full-Displacement,,,Essex
North Quay 17,GBP,7950.00,315531,6.30,1997,Wood,Lifting Keel,,1 x gasoline 3.5hp/ Tohatsu (1997),Isle of Wight
Cornish Crabber 17,GBP,7950.00,316733,6.10,1994,GRP,Lifting Keel,2,1 x gasoline 4hp/ Selva (2019),Neyland/ Pembrokeshire
Aquamar Samoa,EUR,9000.00,241711,5.53,2004,GRP,Planing,,1 x gas 2 stroke 50hp/ Johnson (unknown year),Gibraltar 
Azimut 80,EUR,995000.00,316050,23.97,2003,GRP,Semi-Displacement,8,2 x diesel 1500hp/ MAN 12V - 2000 (2003),Palma/ Mallorca
Ranger Tugs R-29 CB,USD,315000.00,317434,8.84,2022,GRP,Planing,5,1 x diesel 320hp/ Volvo Penta D4-320 (2022),Seattle/ WA USA - At Our Docks!
Seamaster 815,GBP,7750.00,316114,8.15,1982,GRP,Fin,5,1 x diesel 15hp/ Yanmar 2YM (2014),Essex
Sailing Cruiser 23 Cobra 700 Fin Keel,GBP,7500.00,256145,7.00,1980,GRP,Fin,5,1 x diesel 10hp/ Bukh (1980),Plymouth area
Frewharf 12 Punt Rowing Punt,GBP,7500.00,314753,3.65,2019,GRP,Full-Displacement,,,Falmouth/ UK
GibSea 262 Lifting Keel,GBP,7500.00,310752,7.70,1991,GRP,Lifting Keel,6,1 x diesel 9hp/ Yanmar GM10 (1991),Lancashire
Van De Stadt Invicta,GBP,7500.00,315360,8.50,1965,GRP,Long Keel,4,1 x diesel 10hp/ Yanmar 1GM10 (2014),Neyland/ Pembrokeshire
Glastron SSV164,GBP,6995.00,304022,5.00,1982,GRP,Planing,,1 x gasoline 190hp/ BMW B220 with ZF Drive (1982),St Helens
Westerly Centaur,GBP,6950.00,314503,7.90,1971,GRP,Bilge,6,1 x diesel 20hp/ Beta 20 (2021),Chichester
Cruis Along 27 Express,USD,8500.00,315520,8.23,1958,Wood,Planing,4,1 x gasoline 350hp/ Chrysler 327 V8 (1958),Tacoma/ WA USA - Shown by Appointment
Bali 4.8,,,316367,,,,,,,
Lagoon 46 Flybridge,,,316361,,,,,,,
Fountaine Pajot Lipari 41,USD,315000.00,320226,11.89,2010,GRP,Multihull,4,2 x diesel 30hp/ Volvo D1-30 (2017),Grenada
Westerly Pembroke Aft Cockpit - Fin Keel,GBP,6250.00,310227,7.92,1979,GRP,Fin,5,1 x diesel 0hp/ Volvo Penta 2002 (2001),Falmouth UK
Drascombe Cruiser Longboat,GBP,6250.00,313620,6.63,1979,GRP,Lifting Keel,1,1 x gasoline 8hp/ Suzuki DF8a (2013),Truro/ UK
Avon 4.00 Adventure,GBP,6000.00,315105,4.00,2005,GRP,Planing,,1 x gasoline 50hp/ Suzuki (2005),River Hamble
Colvic Seaworker 21 NOW REDUCED!,GBP,6000.00,317137,5.40,1980,GRP,Planing,,1 x gas 2 stroke 90hp/ TOHATSU 2011 TLDI (2010),Suffolk
UNKNOWN SAILING BOAT 40 Ft Sloop,GBP,6000.00,314541,12.40,1970,GRP,Long Keel,6,1 x diesel 45hp/ Perking 4 108 (1980),Barry
Pippin   20 Trailer Sailor,GBP,6000.00,310736,6.30,1999,GRP,Lifting Keel,4,1 x gasoline 5hp/ Honda (1999),Medway/ Kent
Offshore 8m,GBP,5995.00,320410,8.01,1970,GRP,Fin,4,1 x diesel 10hp/ Yanmar GM (2007),Ipswich
Toughs Cobra 33 Liveaboard,GBP,5990.00,315454,10.00,1973,GRP,Planing,6,2 x diesel 120hp/ Ford 2700 (1973),Medway Kent
Mystere Flyer 26,GBP,5950.00,316601,7.92,1970,GRP,Fin,5,1 x diesel 10hp/ Yanmar 1GM10 (unknown year),Truro/ UK
Atlanta 25,GBP,5500.00,315757,7.85,unknown year,GRP,Bilge,5,1 x diesel 9hp/ Yanmar GM10 (unknown year),Cardiff
Passenger Trip Boat 36m,GBP,255000.00,277543,36.00,1924,Steel,Full-Displacement,,1 x diesel 180hp/ Gardiner 8 (unknown year),Richmond
Invader 2200,GBP,5500.00,321125,6.91,unknown year,GRP,Semi-Displacement,3,1 x diesel 0hp/ Ford (unknown year),Cardiff
Macwester 27,GBP,5500.00,317302,8.22,1976,GRP,Bilge,5,1 x diesel 20hp/ Beta BD722 (unknown year),North Wales
Sunwind 26,GBP,5495.00,306274,7.80,1980,GRP,Fin,5,1 x diesel 15hp/ Beta 15 (2015),Plymouth Area.
Jeanneau Folie Duce,GBP,5250.00,315652,9.00,1974,GRP,Fin,5,1 x diesel 13hp/ Vetus M2.D5 (2001),North Yorkshire
Sunseeker Mustang Extended Transom,EUR,5950.00,301047,6.60,1989,GRP,Planing,2,1 x gasoline 320hp/ Mercury (2013),Mallorca
Westerly Centaur,GBP,4995.00,317673,7.90,1977,GRP,Bilge,6,1 x diesel 28hp/ Beta BD1005 (unknown year),Gosport
Rhea Gipsy 480 Day Fisher,GBP,4995.00,320476,4.80,2006,GRP,Planing,,1 x gasoline 30hp/ Honda (2008),Suffolk
Ditchfield Designs 25 Ft Cruiser.,GBP,4995.00,321053,7.77,1977,Wood,Bilge,4,1 x diesel 14hp/ Beta BZ482 (2010),Essex
Seamaster 815 Fin Keel,GBP,4950.00,310367,8.15,1978,GRP,Fin,4,1 x diesel 8hp/ Yanmar (1978),Suffolk
Waverider 16,GBP,4950.00,320512,4.87,2001,GRP,Planing,,1 x gasoline 30hp/ Tohatsu 4 Stroke MFS30B (2007),Neyland/ Pembrokeshire
Motor Yacht 21m,GBP,249995.00,306407,21.34,2002,Steel,Full-Displacement,6,1 x diesel 135hp/ Sabre Perkins M135 (2002),St Katharine's Dock/ London
Europa 380 Sport,GBP,4950.00,312173,3.80,2015,Rubber,Planing,,1 x gasoline 25hp/ Tohatsu 4 Stroke (2015),Neyland/ Pembrokeshire
WaterWitch 30,GBP,4950.00,315110,9.14,1973,GRP,Shallow Long with Bilge keel,4,1 x diesel 25hp/ Volvo MD2D (1973),Neyland/ Pembrokeshire
Orkney 315,GBP,4850.00,313565,3.15,1986,GRP,Planing,,1 x gasoline 20hp/ Tohatsue 20 EFI 4 Stroke (2021),North Walsham
Salcombe Flyer 440,GBP,4750.00,321042,4.40,2004,GRP,Planing,,1 x gasoline 50hp/ Mariner (2004),Neyland/ Pembrokeshire
Hanse 548,,,316546,,,,,,,
Leisure 23 Bilge Keel,GBP,4500.00,310565,6.90,1979,GRP,Bilge,5,1 x gasoline 12hp/ Dolphin (2003),Fowey UK
Zar Rib 9 DL - New Boat,GBP,4495.00,317506,2.70,2022,Aluminium,Planing,,,Suffolk
Bobcat 3.3 M Racing Cat,USD,5495.00,235440,3.33,2011,GRP,Multihull,,1 x gas 2 stroke 30hp/ Mercury 30 (2011),Langkawi
Relcraft 19,GBP,4450.00,317172,6.40,1970,GRP,Semi-Displacement,,1 x gasoline 30hp/ Tohatsu (unknown year),Brighton
Lagoon 450 Flybridge,,,316516,,,,,,,
Dutch Barge 27m With London Mooring,GBP,249000.00,311112,27.50,1906,Steel,Full-Displacement,2,1 x diesel 125hp/ DAF (unknown year),South Dock Marina/ London SE16
