name,currency,price,Boat REF,Length,Year,Construction,Underwater profile,Sleeping berths,Engine,Lying
Wide Beam 60 X 13 Cruiser Stern,GBP,99950.00,320322,18.29,2013,Steel,Full-Displacement,2,1 x diesel 70hp/ Barrus 70 (2013),Manchester
Moody Eclipse 43,GBP,99950.00,313653,13.11,1990,GRP,Fin and Bulb,8,1 x diesel 80hp/ Perkins M80T (1999),Brighton
Birchwood 360 Challenger Flybridge,GBP,99950.00,304501,10.97,2005,GRP,Planing,5,2 x diesel 300hp/ Volvo Penta KAD (2005),Medway/ Kent
Royal Tender Limo 29',GBP,99000.00,314701,9.30,2007,GRP,Planing,,2 x diesel 190hp/ Volvo Penta D3-190 (2007),Chelsea
Appledore Devon Motor Tug Dog Class Tug,GBP,99000.00,301743,28.00,1966,Steel,Full-Displacement,7,2 x diesel 660hp/ Lister Blackstone E type (1966),Lowestoft
Sunseeker Superhawk 48,GBP,98000.00,320740,14.78,1999,GRP,Planing,2,3 x diesel 220hp/ Volvo Penta KAD43 compressor (1999),Gibraltar 
Luhrs 360 SX Express,USD,120000.00,224201,11.00,1998,GRP,Planing,5,2 x diesel 485hp/ Yanmar (2007),St.Lucia
Hatteras 39.9 Express New Price Reduction_Bring Offers!,USD,119500.00,303153,12.16,1996,GRP,Planing,2,2 x diesel 465hp/ Detroit 6-71 (1995),S. Texas
Searider 17,GBP,95000.00,301746,17.00,1967,Wood,Bilge,8,2 x diesel 185hp/ Cummins V8 185S (1967),Gibraltar
Houseboat Purpose Built 20m,GBP,95000.00,265170,20.80,1980,GRP,Semi-Displacement,12,,Isle of Wight - Viewing by Appointment Only
David Lyons 20M - Aluminium Performance Cruiser,USD,700000.00,210253,19.80,1996,Aluminium,Lifting Keel,10,2 x diesel 75hp/ Yanmar 4JH4 - TE &amp; SD-50T Sail Drives (2007),Langkawi
Maxum 3700-SCR,GBP,95000.00,310312,11.28,2005,GRP,Planing,4,2 x diesel 330hp/ Cummins Diamond series (2005),Neyland Marina/ Pembrokeshire
Fairline Phantom 37,GBP,94950.00,307740,11.71,1996,GRP,Planing,6,2 x diesel 370hp/ Volvo Penta TAMD 63P (1996),Essex
Beneteau Oceanis 31,USD,115000.00,271736,9.39,2019,GRP,Fin,4,1 x diesel 20hp/ Yanmar (2019),British Virgin Islands
Cruisers Yachts Esprit 337 Central Paris Mooring,EUR,105000.00,270410,10.60,1997,GRP,Planing,7,2 x diesel 230hp/ VOLVO PENTA KAD42 DF (1997),PARIS
Dutch Barge Aak 14.6m Live Aboard Canal &amp; River Cruiser,EUR,105000.00,314547,14.65,1895,Iron,Full-Displacement,7,1 x diesel 85hp/ VOLVO PENTA MD40 (1995),South Ile de France North Burgundy
Camano 31 Trawler Gnome,USD,113000.00,316232,9.45,1995,GRP,Semi-Displacement,4,1 x diesel 200hp/ Volvo TAMD41D (1995),Everett/ WA USA - Shown by Appointment
Nelson 60,GBP,89950.00,311610,18.29,unknown year,GRP,Full-Displacement,8,2 x diesel 170hp/ Ford (unknown year),Brighton
Cygnus 38,GBP,88000.00,315424,11.27,1980,GRP,Long Keel,5,1 x diesel 138hp/ Lister (1980),Gibraltar
Luxemotor Dutch  Barge TRIVW Renewal In Process,EUR,100000.00,277042,24.17,1925,Iron,Full-Displacement,2,1 x diesel 100hp/ DAF (unknown year),South Paris Area
Aquador 32 C,GBP,87500.00,321045,9.70,1999,GRP,Planing,4,1 x diesel 300hp/ Yanmar 6LP-STE 6 Cylinder 24 Valve (1999),Chichester
Maxi Dolphin 65,EUR,645000.00,270572,20.00,2003,Composite,Fin and Bulb,8,1 x diesel 125hp/ Yanmar 4JH  (2003),French Riviera/ FRANCE
Peniche Freycinet Barge Moored On Its Own Island In The Marne,EUR,99000.00,312652,38.50,1949,Steel,Full-Displacement,2,1 x diesel 160hp/ BAUDOIN DK6 (1960),ILE DE FRANCE EAST
Viko S30,GBP,85995.00,306475,9.27,2021,GRP,Fin and Bulb,6,1 x diesel 20hp/ Yanmar 2GM20 (2021),Suffolk
Steel Motor Boat 38 Nelson Style,GBP,85000.00,227435,11.58,2004,Steel,Semi-Displacement,6,1 x diesel 300hp/ Perkins Sabre 300ti (2004),Cardiff
Jeanneau Sun Odyssey 40 3 Cabin Layout,EUR,95000.00,141402,12.20,2002,GRP,Fin,8,1 x diesel 56hp/ Yanmar 4JH3E (2002),Prov. Barcelona
Beneteau Oceanis 37 37.2 Owners Version,USD,99995.00,311635,11.48,2010,GRP,Fin and Bulb,4,1 x diesel 50hp/ Yanmar (2011),Grenada
Jeanneau Merry Fisher 795,USD,99950.00,314027,7.90,2018,GRP,Planing,4,1 x gasoline 200hp/ Suzuki DF 200 ATX (2018),Phuket / Thailand
Delphia 33,USD,99500.00,315264,10.06,2007,GRP,Fin and Bulb,5,1 x diesel 30hp/ Volvo - Sail Drive- 30 HP- Model D1 - 30B- Reverse (2007),Seattle/ WA USA - At Our Docks!
Bayliner 315 Sports Cruiser,GBP,80000.00,316626,9.66,2011,GRP,Planing,4,2 x gasoline 220hp/ Mercruiser 4.3 v6 (2011),Isle of Wight
Bowman 46 Yawl,GBP,79950.00,310645,14.11,1971,GRP,Fin,8,1 x diesel 54hp/ Yanmar 4JH5E (2012),Isle of Wight
Birchwood 360 Challenger,GBP,79950.00,315250,10.97,2000,GRP,Planing,4,2 x diesel 250hp/ Yanmar 6LP-DTE (2000),Isle of Wight
Sunseeker Manhattan 66,EUR,640000.00,230406,22.10,2007,GRP,Planing,8,2 x diesel 1100hp/ MAN  (2007),Alpes Maritimes
Rampart 48,GBP,79950.00,304660,14.09,1968,Wood,Semi-Displacement,4,2 x diesel 125hp/ Perkins 6354 / 6 cylinder (unknown year),Essex
Motor Cruiser 46 Giorgi Cantieri Navali Open 46 Aft Cabin,GBP,79500.00,271460,14.02,1990,GRP,Planing,4,2 x diesel 425hp/ Caterpillar 3208 (1990),Plymouth area
Dutch Barge 23m ES-TRIN Valid To October 2029,EUR,90000.00,317340,22.96,1925,Steel,Full-Displacement,5,1 x diesel 52hp/ GARDNER 4LW (unknown year),SOUTH ILE DE  FRANCE
Hunter Legend 430,EUR,90000.00,311126,12.95,1996,GRP,Fin,5,1 x diesel 57hp/ Yanmar (2023),Athens Greece
Riva Tropicana 43,EUR,89950.00,312572,13.40,1989,GRP,Planing,5,2 x diesel 425hp/ Cummins V903m (1989),French Riviera Cote d Azur France
Linssen 320 AC DUTCH STURDY Two Cabin Version,EUR,89000.00,317266,10.10,2000,Steel,Full-Displacement,6,1 x diesel 108hp/ Volvo Penta TAMD31M (2000),Canal du Midi
Grand Soleil 34.1,GBP,78000.00,320716,10.25,2000,GRP,Fin,6,1 x diesel 28hp/ Yanmar 3GM30 (2000),Hamble
Island RIBs 7.5m,GBP,75000.00,310100,7.50,2019,GRP,Planing,,1 x gasoline 200hp/ Suzuki DF200APX (2019),Isle of Wight
Branson Dutch Barge 38ft,GBP,75000.00,315501,11.58,2008,Steel,Full-Displacement,2,1 x diesel 65hp/ Vetus Kia (2008),Central London
Prout Event 34,GBP,75000.00,320545,10.36,1990,GRP,Multihull,7,1 x diesel 30hp/ Beta 30 (2013),Plymouth Area.
Leopard 24 Express Cruiser,EUR,585000.00,307512,24.00,2006,GRP,Planing,8,2 x diesel 1500hp/ MTU M91-V12 JET DRIVE (2006),French Riviera Cote d Azur France
C-Kip 40 Ocean 40 Europa,GBP,75000.00,321166,11.98,1980,GRP,Semi-Displacement,7,2 x diesel 120hp/ lehman (1980),Brundall
Houseboat Conversion,GBP,74950.00,311203,12.30,1969,GRP,Other,,,Rye
Sea Ray 410 Express Cruiser,USD,92000.00,276641,13.73,2000,GRP,Planing,5,2 x diesel 430hp/ Cummins  (2000),S. Texas
Capelli Tempest 1000,EUR,85000.00,234354,9.62,2009,GRP,Planing,2,2 x gasoline 300hp/ Yamaha (2013),Languedoc coast France
Nicols Estivale Quattro Bow Thruster Fitted In 2022,EUR,85000.00,260050,10.85,2010,GRP,Full-Displacement,4,1 x diesel 38hp/ NANNI N4.30 (2011),LOT Valley
Hans Christian Scandinavian 48 Center Cockpit Sloop,USD,90000.00,317365,14.62,1992,GRP,Fin,5,1 x diesel 68hp/ Yanmar 4JH2 HTE (1992),Krabi
Wide Beam 57ft Cruiser Stern,GBP,73000.00,301264,17.37,2004,Steel,Full-Displacement,2,1 x diesel 48hp/ Isuzu (2004),Brentford/ West London
Stephens 40 Sedan,USD,89000.00,304173,12.19,1926,Wood,Semi-Displacement,2,2 x diesel 65hp/ Isuzu C-240 (1992),Concrete/ WA USA - Shown by Appointment
Blackfin 29,USD,88000.00,276507,8.23,1986,GRP,Planing,2,2 x gasoline 350hp/ Mercury Verado (unknown year),St.Lucia
Dutch Barge Tjalk Not A Conversion! New Build 1974,EUR,80000.00,317635,11.00,1974,Steel,Full-Displacement,2,1 x diesel 80hp/ PERKINS 4236 4 cyl. (1974),midi canals
Prestige 680 Fly Bridge,EUR,1990000.00,306244,21.00,2020,GRP,Planing,10,2 x diesel 900hp/ Volvo IPS 1200 (2020),French Riviera
Sunseeker Predator 68,USD,630000.00,307550,21.70,2004,GRP,Planing,5,2 x diesel 1475hp/ MAN D2842 LE409 (2004),Panama
Airon Marine 300,EUR,79950.00,315003,9.80,2012,GRP,Planing,4,2 x diesel 200hp/ Volvo D3 (2012),French Riviera Cote d Azur France
Dutch Barge 17m With London Mooring,GBP,70000.00,305216,16.92,1922,Steel,Full-Displacement,4,1 x diesel 120hp/ DAF 575 (unknown year),South Dock Marina/ London SE16
Bavaria 42,THB,2950000.00,305557,12.98,2000,GRP,Fin,6,1 x diesel 55hp/ Volvo MD22 (2000),Phuket / Thailand
Custom Classic Motor Yacht,EUR,79500.00,305403,17.40,1974,Wood,Full-Displacement,8,2 x diesel 140hp/ Ford  2715E (unknown year),Larnaca
Rampart 48,EUR,79500.00,272522,14.63,1960,Wood,Full-Displacement,7,2 x diesel 75hp/ Perkins (1960),Barcelona
Nicols Estivale Quattro Bow Thruster Installed In 2022,EUR,79000.00,260075,10.85,2007,GRP,Full-Displacement,4,1 x diesel 40hp/ VOLVO D2 40B (2007),LOT Valley
Otarie Class 42 Wheelhouse,GBP,69500.00,316221,14.70,1973,Steel,Full-Displacement,6,2 x diesel 85hp/ DAF 475M (1973),Essex
Westerly Oceanranger 38,GBP,69500.00,320006,11.58,1993,GRP,Fin,8,1 x diesel 28hp/ Volvo Penta 2003 (1993),Neyland/ Pembrokeshire
Silverton 330 Sportbridge,USD,85000.00,315242,10.06,2001,GRP,Planing,5,2 x gasoline 350hp/ Mercruiser 350 MAG MPI Bluewater Inboard (2001),Seattle WA USA - Shown By Appointment
Falcon Renaissance Connoisseur 30 FB FlyBridge,GBP,68500.00,321155,30.00,2004,GRP,Full-Displacement,5,1 x diesel 35hp/ nanni diesel (2004),Surlingham
Lagoon 450 Catamaran,EUR,550000.00,271626,13.96,2019,GRP,Multihull,10,2 x diesel 45hp/ Yanmar (2019),British Virgin Islands
Bayliner 3788 Twin Mercruisers; Good Condition!,USD,84000.00,317574,11.28,1998,GRP,Planing,6,2 x gasoline 310hp/ Mercruiser MIE 7.4 (1998),Everett/ WA USA - Shown by Appointment
Rinker 296 Captiva Cuddy,EUR,75950.00,307564,8.00,2006,Composite,Semi-Displacement,1,1 x gasoline 390hp/ Mercury  (2006),Valencia
Dutch Motor Cruiser BABRO 1050,EUR,75000.00,317271,11.20,1992,Steel,Full-Displacement,4,1 x diesel 110hp/ HINO 4 cyl. (1992),south burgundy
Custom Bluewater Cruiser,USD,80000.00,313064,11.90,2002,Wood Strip Plank,Fin and Bulb,5,1 x diesel 58hp/ Yanmar 3JH (2002),Grenada
Jeanneau Sun Kiss 47,USD,80000.00,317560,14.45,1989,GRP,Fin,7,1 x diesel 54hp/ Yanmar 4JH5E (2013),Grenada
Carver 42 Aft Cabin Motivated Seller,USD,79900.00,307751,14.63,1989,GRP,Semi-Displacement,3,2 x diesel 300hp/ Cummings  (1989),S. Texas
Windy 11600 Grand Sport,GBP,65000.00,316744,11.60,1996,GRP,Planing,4,2 x diesel 315hp/ Yanmar 6LPA-STZP/ 4 Cylinder (1996),Medway/ Kent
Stevens 1140,GBP,65000.00,313637,11.40,1990,Steel,Full-Displacement,7,2 x diesel 100hp/ Volvo Penta TMD31 (1990),Isle of Wight
Wallace Clark Gentlemans Motor Yacht,GBP,65000.00,264514,10.67,1965,Wood,Full-Displacement,4,2 x diesel 116hp/ Ford 2700D (unknown year),Isle of Wight - Viewing by Appointment Only
Corvette 32,GBP,65000.00,316117,9.85,1988,GRP,Semi-Displacement,4,2 x diesel 200hp/ Volvo Penta TAMD 41P (1988),Neyland/ Pembrokeshire
Aventure 430 Flybridge,USD,592000.00,317244,13.11,2003,GRP,Multihull,6,2 x diesel 440hp/ YANMAR 24-6L2AM-STP (2021),Western Cape
Sea Ray 315 Sundancer,GBP,64950.00,320473,9.47,2005,GRP,Planing,4,1 x diesel 285hp/ Volvo KAD300 (2005),Essex
Etap 38i Family Cruiser  With Hull Buoyancy,EUR,72500.00,240264,11.58,1991,GRP,Fin,6,1 x diesel 43hp/ Volvo 2003T (1991),Languedoc coast
Princess 45 Flybridge,GBP,63750.00,314200,13.60,1987,GRP,Planing,6,2 x diesel 235hp/ Volvo TAMD71A's (1987),Essex
Prout Event 34,GBP,63000.00,320212,10.36,1992,GRP,Multihull,7,1 x diesel 30hp/ Yanmar 3GM (2015),Gibraltar
Fairways Trawler 38,GBP,62950.00,320710,11.28,1980,GRP,Full-Displacement,6,2 x diesel 212hp/ Ford Sabre (1980),Grimsby
Dutch Steel Motor Cruiser Jacabo 37ft,GBP,62500.00,312044,11.28,1986,Steel,Full-Displacement,6,1 x diesel 105hp/ DAF DD575M (1986),North Yorkshire
Wide Beam Cruiser Stern Live Aboard River Cruiser,EUR,70000.00,310315,17.25,1997,Steel,Full-Displacement,4,1 x diesel 50hp/ YANMAR (unknown year),midi canals
Motor Cruiser 41ft SEDAN,EUR,70000.00,237005,12.50,1992,Steel,Full-Displacement,4,2 x diesel 55hp/ NISSAN LDV 20 (1998),West Paris area
Crownline 315 SCR,USD,75000.00,306357,9.91,2008,GRP,Planing,4,2 x gasoline 320hp/ Mercruiser 377 Mag (2008),St.Lucia
Hans Christian 33 Sloop,USD,75000.00,316675,12.52,1982,GRP,Long Keel,4,1 x diesel 29hp/ Yanmar 3QM30 (1982),Langkawi
Leopard 23,EUR,545000.00,277631,20.40,2007,GRP,Planing,8,2 x diesel 1200hp/ MAN D2842  (2007),French Riviera/ Med.
ATOMIC 22,USD,74800.00,311175,6.50,New,Composite,Planing,,2 x gasoline 115hp/ Suzuki/ Mercury or Yamaha,Cape town
Passenger Vessel Trip Boat Class 4 Waters,EUR,69000.00,313100,14.90,1994,Wood,Full-Displacement,,1 x diesel 140hp/ PERKINS 135 Range 4 (unknown year),midi canals
Airship 31 Center Console,USD,74000.00,317624,9.45,2013,GRP,Planing,,2 x gasoline 200hp/ Mercury Verado  (2013),St.Lucia
Jack Powles  35 Star Class,GBP,60000.00,303605,11.00,1959,Wood,Full-Displacement,5,1 x diesel 57hp/ Ford (1959),Horning
Orlando 49 Canoe Stern,GBP,60000.00,263216,15.00,1995,GRP,Long Keel,6,1 x diesel 70hp/ Ford FSD (1995),GIBRALTAR 
Windy 32 Scirocco,GBP,59950.00,320237,9.75,1997,GRP,Planing,6,2 x diesel 250hp/ Mercruiser 4.2 D-Tronic (1997),Chichester
Houseboat 40ft With London Mooring,GBP,59950.00,307074,12.19,1979,Steel,Other,3,,Brentford
Powles 46 Aft Cabin And Flybridge,GBP,59950.00,313634,13.56,1970,GRP,Semi-Displacement,8,2 x diesel 240hp/ Cummins T903's turbo diesels (1980),Essex
Atlantic Marine Adventure 780,GBP,59950.00,320170,7.83,2018,GRP,Planing,3,1 x gasoline 225hp/ Mercury FS225XL (2018),Eastbourne
Banham 33 Discovery Cruising Yacht,GBP,59950.00,305607,10.06,1933,Wood,Full-Displacement,3,1 x diesel 9hp/ Yanmar 1GM10 (2014),Wroxham
Barge Houseboat Mulberry 4 Bedroom Live-aboard,GBP,459999.00,312674,26.00,1935,Ferro Cement,Full-Displacement,10,,Essex
Beneteau First 42s7,GBP,59950.00,320773,12.95,1995,GRP,Wing Keel,8,1 x diesel 50hp/ Volvo Penta MD22 (1995),Lancashire
Freedom 40 AC Aft Cockpit,GBP,59900.00,315504,11.89,1985,GRP,Shallow Long Keel,10,1 x diesel 50hp/ Beta Marine 50 (2017),Fowey
Chris Craft Crowne 32,GBP,59500.00,307773,9.70,1998,GRP,Planing,6,2 x gasoline 225hp/ Volvo Penta 4.3 GI (1998),Milford Marina
Starfisher 1060,GBP,59000.00,313604,10.60,2007,GRP,Semi-Displacement,4,2 x diesel 265hp/ Yanmar (2011),Gibraltar
Horizon Craft Ltd 44 Flybridge Motor Boat,GBP,59000.00,312655,14.90,1990,GRP,Semi-Displacement,8,2 x diesel 425hp/ Caterpillar 3208 (1990),Gibraltar
Nautor Swan 47 Motor Cruiser,GBP,59000.00,264423,14.63,1971,GRP,Planing,3,2 x diesel 400hp/ V8 Caterpillar D336200 (1971),Clyde /West Scotland
Feeling 416,GBP,58950.00,316136,12.60,1991,GRP,Fin,10,1 x diesel 44hp/ Yanmar 4JH2E (1991),Shoreham By Sea
Colin Archer 42 Van De Wiele,EUR,67000.00,314726,13.50,1983,Steel,Long Keel,6,1 x diesel 45hp/ Mitsubishi 1CF4 (2007),Las Palmas
Moody 35,GBP,58000.00,314646,10.52,1991,GRP,Fin,6,1 x diesel 39hp/ Yanmar 3JH5E (2015),River Hamble
Narrowboat 42ft With London Mooring,GBP,58000.00,314715,12.80,1978,Steel,Full-Displacement,2,1 x diesel 46hp/ Lister HR3 (1978),South Dock Marina/ London SE16
Wave Piercer Speed Boat,GBP,450000.00,313251,22.00,2007,Composite,Semi-Displacement,6,1 x diesel 1652hp/ C32 RXB02683 (2007),Portland
Dutch Steel Motor Cruiser 42ft SEDAN,EUR,65000.00,307641,13.00,1995,Steel,Full-Displacement,6,1 x diesel 160hp/ SOLE SFN160 (unknown year),HAUTS DE FRANCE
Hallberg Rassy 312 MK2,GBP,57000.00,312501,9.42,1990,GRP,Fin,6,1 x diesel 28hp/ Volvo MD 2003 (1990),Milford Marina
Benson 52 Fantail Trawler,USD,69500.00,277276,15.85,1954,Wood,Full-Displacement,4,1 x diesel 165hp/ Detroit 6-71-N (1951),Bellingham/ WA USA - Shown by Appointment
Standfast 40 Cruiser/Racer,USD,68000.00,260430,12.19,1973,Composite,Fin,7,1 x diesel 47hp/ Yanmar (unknown year),Krabi / Thailand
Herbert Woods Light Class,GBP,55000.00,317062,11.27,1965,Wood,Full-Displacement,7,1 x diesel 47hp/ nanni N4.50 (unknown year),Stalham
Beneteau Antares Series 9,GBP,55000.00,311734,9.18,2005,GRP,Semi-Displacement,4,1 x diesel 245hp/ Volvo Penta D4 (2005),Isle of Man
Dutch Barge 13m Dutch Liveaboard,GBP,55000.00,314010,13.00,1981,Steel,Full-Displacement,2,1 x diesel 75hp/ Mercedes  (unknown year),Gravesend/ Kent
Solaris Sunstar 32 Aerorig,GBP,55000.00,312451,9.70,1996,GRP,Multihull,5,2 x diesel 20hp/ Volvo Penta 2020 (1996),Lancashire
Wooden  Pilot Boat 45,GBP,55000.00,320501,13.72,1986,Wood,Full-Displacement,3,1 x diesel 240hp/ Gardner 6LXDT (unknown year),Clyde
Jeanneau Sun Odyssey 40 Masthead Sloop,THB,2300000.00,257443,12.20,2001,GRP,Fin,6,50 x diesel 50hp/ Yanmar 4JH3E (2001),Phuket / Thailand
Southern Marine Malahide Trawler Yacht Pilothouse,USD,545000.00,256571,19.81,1972,Wood,Full-Displacement,12,1 x diesel 375hp/ Caterpillar TA D-353 (1980),Seattle/ WA USA - Shown by Appointment
Ferretti 36 FLY,EUR,62000.00,320306,10.85,1990,GRP,Planing,4,2 x diesel 320hp/ Caterpillar 3208 (1990),French Riviera Cote d Azur France
Scottish Ring Netter 58 Foot,GBP,54000.00,303525,18.17,1964,Wood,Full-Displacement,12,1 x diesel 230hp/ Cummins (unknown year),Clyde
Rinker 280 Express Cruiser,GBP,54000.00,314544,9.65,2010,GRP,Planing,4,1 x diesel 260hp/ Volvo Penta D4-260 (2010),Neyland/ Pembrokeshire
Cape Dory CD36 Motivated Seller_All Reasonable Offers Considered,USD,65000.00,245277,11.01,1980,GRP,Long Keel,6,1 x diesel 40hp/ Yanmar 4JH4E (2016),S. Texas
C&amp;C 44,USD,64995.00,307652,13.41,1987,GRP,Lifting Keel,7,1 x diesel 40hp/ Yanmar 4jHE (1987),St.Lucia
Motor Cruiser 28ft With London Mooring,GBP,52500.00,321050,8.53,2001,Steel,Semi-Displacement,4,2 x diesel 165hp/ Perkins 6.354 (2001),South Dock Marina/ London SE16
Ideal 45,GBP,52500.00,316777,13.70,1982,GRP,Full-Displacement,12,1 x diesel 50hp/ Nanni Diesel 4200 (1982),North Norfolk Broads
Ideal 45,GBP,52500.00,317027,13.70,1982,GRP,Full-Displacement,10,1 x diesel 50hp/ nanni diesel he200 (1982),North Norfolk Broads
Ideal 45,GBP,52500.00,317002,13.70,1982,GRP,Full-Displacement,12,1 x diesel 50hp/ Nanni Diesel 4200 (1982),North Norfolk Broads
Scout 175 Dorado,USD,64500.00,317701,5.30,2023,GRP,Planing,,1 x gasoline 115hp/ Mercury Sea Pro 115 (2023),St.Lucia
Nicholson 58,EUR,500000.00,306566,17.50,1986,GRP,Fin,9,1 x diesel 135hp/ Perkins Sabre (1986),French Riviera 
Dutch Barge 13m,GBP,52000.00,315660,13.50,1930,Steel,Full-Displacement,2,1 x diesel 100hp/ DAF 575 (unknown year),East London (continuous cruiser)
Princess 412 Flybridge,GBP,51950.00,317514,12.55,1983,GRP,Semi-Displacement,5,2 x diesel 235hp/ Volvo Penta TAMD 60B (1983),North Suffolk 
Nicols Sedan 1010 New Engine 2017,EUR,59000.00,260056,10.00,2001,GRP,Full-Displacement,8,1 x diesel 45hp/ SEENERGIE XUD 45 (2017),LOT Valley
Nicols Estivale Duo Re Engine In 2022,EUR,59000.00,260015,8.85,2004,GRP,Full-Displacement,2,1 x diesel 30hp/ VOLVO PENTA MD2 30 (2004),LOT Valley
Hatteras 40DC,GBP,51450.00,315705,12.20,1989,GRP,Semi-Displacement,6,2 x diesel 375hp/ Caterpillar (1989),Brighton
South Boats 9m RIB,GBP,50000.00,262413,9.00,2008,GRP,Planing,,1 x diesel 440hp/ Yanmar 6LY (2004),Isle of Wight
Dutch Barge Tjalk Liveaboard With Woodburner,GBP,49995.00,313240,12.50,1896,Steel,Full-Displacement,3,1 x diesel 28hp/ Volvo Penta (2003),Essex
Tanton 43 Ketch,GBP,49995.00,314756,13.16,1985,GRP,Long Keel,7,1 x diesel 43hp/ Beta 43 (2007),Torbay Area
Stavo Kruiser AK 1100 Aft Cabin,GBP,49995.00,312000,11.10,1978,Steel,Full-Displacement,6,1 x diesel 120hp/ BMC 6 cylinder Diesel 5.7 litre (1978),Brundall
Aquafibre 38 Centre Cockpit,GBP,49995.00,304443,11.58,1980,GRP,Full-Displacement,6,1 x diesel 47hp/ Beta 4 cylinder diesel (2012),Acle
Turkish Gulet 32m,EUR,490000.00,307132,32.00,1997,Wood,Full-Displacement,14,1 x diesel 330hp/ Cummins QSL9 330 HO  (1997),French Riviera
Sealine S25,GBP,49950.00,320462,7.62,2005,GRP,Planing,4,1 x diesel 170hp/ Volvo KAD32 (2005),Brighton
Club Line Steel Cruiser Stern Narrowboat Fully Furnished,GBP,49950.00,307176,21.34,1986,Steel,Full-Displacement,2,1 x diesel 47hp/ Ford Endura 1.8 Four Cylinder  (unknown year),Medway/ Kent
Ideal 45,GBP,49950.00,310356,13.70,1986,GRP,Full-Displacement,12,1 x diesel 49hp/ nanni diesel (1986),north norfolk broads
Orkney Pilothouse 24,GBP,49750.00,313777,7.37,2006,GRP,Planing,2,1 x diesel 190hp/ Volvo D3-190A-C PS (2007),Gosport
Houseboat 35,GBP,49500.00,321015,10.67,1974,Wood,Other,4,,Brundall/ Norfolk
Bounty 40 Centre Cockpit,GBP,49000.00,316147,12.19,1985,GRP,Full-Displacement,8,1 x diesel 50hp/ nani diesel 4220 he (1985),Stalham
Colecraft Narrowboat 57ft,GBP,49000.00,316205,17.37,1990,Steel,Full-Displacement,6,1 x diesel 69hp/ BMC 1500 (1990),North Yorkshire
Dutch Barge 38ft With London Mooring,GBP,49000.00,320314,10.97,1937,Steel,Full-Displacement,2,1 x diesel 25hp/  (unknown year),South Dock Marina/ London SE16
Bristol 41.1_CC Cutter Sloop,USD,60000.00,267670,12.53,1984,GRP,Lifting Keel,6,1 x diesel 52hp/ Westerbeke (1984),S. Texas
Scout 21 SXF,USD,60000.00,315603,6.13,2014,GRP,Planing,,1 x gasoline 150hp/ Yamaha (2013),St.Lucia
Dutch Barge 27m With London Mooring,GBP,425000.00,310626,27.10,1929,Steel,Full-Displacement,7,1 x diesel 185hp/ DAF 615 (unknown year),St Katharine's Dock/ London
Doral 250 SE,GBP,48750.00,315470,7.72,2002,GRP,Planing,4,1 x gasoline 270hp/ Volvo 5.0 GXI DP (2002),Torbay Area.
Broom 35 Sedan Flybridge,GBP,48500.00,317605,10.70,1982,GRP,Planing,6,2 x diesel 200hp/ Ford Mermaid (1982),Isle of Wight
Bayliner 288 Flybridge,GBP,48500.00,317651,10.00,unknown year,GRP,Planing,6,1 x diesel 250hp/ Mercruiser (2006),Christchurch Dorset
Dutch Steel Motor Cruiser 36ft Classic Style,EUR,55000.00,312504,11.90,1969,Steel,Full-Displacement,5,2 x diesel 90hp/ PEUGEOT INDENOR  X6M90AL (1968),South ile de France North Burgundy
Nicols Sedan 1000 Ex Hire Cruiser,EUR,55000.00,271752,10.00,1994,GRP,Full-Displacement,8,1 x diesel 65hp/ SEENERGIE TUD5 (unknown year),Burgundy
Nicols Sedan 1010 Ex Hire Cruiser,EUR,55000.00,260061,10.00,2001,GRP,Full-Displacement,6,1 x diesel 40hp/ NANNI N4.38 (2014),LOT Valley
Rinker 342 Fiesta Vee,EUR,55000.00,223150,11.28,2005,GRP,Planing,4,2 x gasoline 375hp/ Mercruiser 496 DTS MAG 8.1L (2005),COSTA BRAVA Girona
Ranieri  Shadow 28 Fast Sports Weekender,EUR,55000.00,241554,8.30,2011,GRP,Planing,4,2 x gasoline 225hp/ Honda (2011),Languedoc coast France
Thames Lighter 23m Houseboat With Flexible Accommodation,GBP,48000.00,313020,22.86,1960,Steel,Full-Displacement,6,,Essex
Aquafibre Entrepreneur 44,GBP,48000.00,317043,13.41,1985,GRP,Full-Displacement,9,1 x diesel 50hp/ Nanni Diesel (1895),Norfolk Broads
Knysna 550,USD,1650000.00,314316,16.55,New,GRP,Multihull,8,2 x diesel 80hp/ Yanmar,Eastern Cape
Cantieri Di Pisa Kaitos 76,EUR,479000.00,257633,23.00,2003,GRP,Planing,,2 x diesel 2000hp/ MTU 16V 2000 M91 (2003),French Riviera Cote d azur var
Aquafibre Entrepreneur 44,GBP,48000.00,317046,13.41,1985,GRP,Full-Displacement,9,1 x diesel 50hp/ Nanni Diesel (1985),North Norfolk Broads
Rinker Fiesta Vee 270 Diesel Version,,,304740,9.30,2005,GRP,Planing,4,1 x diesel 260hp/ Volvo Penta (2005),Essex
Aquafibre Entrepreneur 44,GBP,47995.00,317021,12.40,1987,GRP,Full-Displacement,11,1 x diesel 50hp/ Nanni Diesel (1987),norfolk broads
Aquafibre Entrepreneur 44,GBP,47995.00,317024,12.40,1987,GRP,Full-Displacement,7,1 x diesel 50hp/ nanni diesel (1985),North Norfolk Broads
